system:time_start,EVI,NDVI
"May 8, 2016","4,566.542","5,850.744"
"May 24, 2016","4,889.461","6,607.725"
"Jun 9, 2016","3,824.029","4,973.634"
"Jun 25, 2016","3,799.897","5,092.524"
"Jul 11, 2016","3,956.901","5,916.718"
"Jul 27, 2016","2,641.634","3,035.052"
"Aug 12, 2016","2,480.564","3,041.715"
"Aug 28, 2016","2,333.635","2,723.704"
"Sep 13, 2016","4,490.276","5,561.382"
"Sep 29, 2016","4,225.264","5,141.491"
"Oct 15, 2016","4,464.787","6,427.053"
"Oct 31, 2016","4,281.697","6,131.012"
"Nov 16, 2016","3,793.953","5,708.423"
"Dec 2, 2016","4,339.482","6,148.474"
"Dec 18, 2016","3,516.645","6,157.635"
"Jan 1, 2017","3,336.074","5,035.611"
"Jan 17, 2017","4,267.127","6,956.628"
"Feb 2, 2017","4,619.942","7,242.939"
"Feb 18, 2017","3,861.56","5,463.261"
"Mar 6, 2017","4,038.891","5,764.539"
"Mar 22, 2017","4,287.886","5,784.173"
"Apr 7, 2017","4,043.996","6,166.652"
"Apr 23, 2017","5,150.914","7,284.324"
"May 9, 2017","4,787.848","7,391.126"
"May 25, 2017","4,645.434","6,547.137"
"Jun 10, 2017","3,412.221","4,329.907"
"Jun 26, 2017","2,831.431","3,425.467"
"Jul 12, 2017","3,107.189","3,920.654"
"Jul 28, 2017","3,090.48","4,277.754"
"Aug 13, 2017","3,282.124","4,157.468"
"Aug 29, 2017","2,921.321","3,524.399"
"Sep 14, 2017","3,733.747","5,073.483"
"Sep 30, 2017","4,417.84","6,490.182"
"Oct 16, 2017","3,878.399","5,839.648"
"Nov 1, 2017","3,956.767","5,904.983"
"Nov 17, 2017","4,563.148","6,719.688"
"Dec 3, 2017","3,805.355","5,620.631"
"Dec 19, 2017","3,496.601","6,192.915"
"Jan 1, 2018","3,808.883","5,797.037"
"Jan 17, 2018","3,208.224","4,930.126"
"Feb 2, 2018","3,648.464","5,680.413"
"Feb 18, 2018","3,996.53","6,380.088"
"Mar 6, 2018","3,987.661","6,446.034"
"Mar 22, 2018","3,695.715","5,166.511"
"Apr 7, 2018","4,526.544","6,066.78"
"Apr 23, 2018","4,674.288","6,721.922"
"May 9, 2018","5,213.113","7,056.238"
"May 25, 2018","4,679.661","6,490.421"
"Jun 10, 2018","4,411.97","6,460.852"
"Jun 26, 2018","3,694.47","5,540.696"
"Jul 12, 2018","2,742.425","4,069.527"
"Jul 28, 2018","4,462.507","7,118.343"
"Aug 13, 2018","3,186.128","4,278.478"
"Aug 29, 2018","2,936.244","3,857.848"
"Sep 14, 2018","2,997.514","3,937.381"
"Sep 30, 2018","4,122.956","5,880.088"
"Oct 16, 2018","5,230.078","7,332.489"
"Nov 1, 2018","4,442.959","6,593.092"
"Nov 17, 2018","3,734.884","5,998.803"
"Dec 3, 2018","3,708.71","5,851.113"
"Dec 19, 2018","3,473.843","6,038.873"
"Jan 1, 2019","3,469.828","6,073.188"
"Jan 17, 2019","3,395.267","5,847.097"
"Feb 2, 2019","3,762.907","5,654.285"
"Feb 18, 2019","3,494.53","5,951.75"
"Mar 6, 2019","4,164.205","5,943.157"
"Mar 22, 2019","4,233.721","6,298.898"
"Apr 7, 2019","4,285.558","7,265.771"
"Apr 23, 2019","4,221.448","5,897.539"
"May 9, 2019","4,643.148","6,674.148"
"May 25, 2019","4,545.089","6,166.141"
"Jun 10, 2019","3,192.749","4,534.319"
"Jun 26, 2019","3,335.969","4,647.746"
"Jul 12, 2019","3,280.823","4,908.438"
"Jul 28, 2019","2,653.755","3,776.637"
"Aug 13, 2019","3,364.622","4,837.812"
"Aug 29, 2019","2,673.27","3,509.327"
"Sep 14, 2019","2,808.509","4,154.822"
"Sep 30, 2019","4,216.066","5,535.109"
"Oct 16, 2019","4,267.943","6,120.044"
"Nov 1, 2019","4,467.38","6,535.057"
"Nov 17, 2019","4,231.009","6,516.03"
"Dec 3, 2019","3,952.005","5,955.114"
"Dec 19, 2019","4,800","7,349.695"
"Jan 1, 2020","3,673.047","6,395.587"
"Jan 17, 2020","3,805.62","5,909.689"
"Feb 2, 2020","3,159.546","5,604.698"
"Feb 18, 2020","3,394.363","5,052.822"
"Mar 5, 2020","3,520.954","5,296.683"
"Mar 21, 2020","3,810.015","6,091.94"
"Apr 6, 2020","4,441.45","6,173.895"
"Apr 22, 2020","5,221.903","7,484.602"
"May 8, 2020","4,725.441","6,751.949"
"May 24, 2020","5,058.7","7,181.714"
"Jun 9, 2020","3,452.063","4,660.088"
"Jun 25, 2020","2,207.284","2,899.739"
"Jul 11, 2020","3,300.533","5,090.741"
"Jul 27, 2020","3,447.172","5,035.426"
"Aug 12, 2020","2,825.876","4,264.189"
"Aug 28, 2020","3,530.963","4,673.638"
"Sep 13, 2020","3,268.799","4,389.799"
"Sep 29, 2020","3,152.076","4,346.57"
"Oct 15, 2020","4,032.657","5,840.722"
"Oct 31, 2020","3,868.841","5,689.33"
"Nov 16, 2020","3,873.09","5,785.009"
"Dec 2, 2020","3,872.479","5,856.93"
"Dec 18, 2020","3,513.398","5,388.477"
"Jan 1, 2021","3,663.072","6,137.303"
"Jan 17, 2021","3,321.839","5,473.116"
"Feb 2, 2021","3,937.649","5,930.318"
"Feb 18, 2021","3,719.907","6,113.478"
"Mar 6, 2021","3,927.631","5,817.949"
"Mar 22, 2021","4,783.053","6,226.998"
"Apr 7, 2021","5,570.395","7,569.725"
"Apr 23, 2021","3,986.348","5,905.089"
"May 9, 2021","4,533.576","6,249.325"
"May 25, 2021","4,676.279","6,622.772"
"Jun 10, 2021","4,327.885","6,229.091"
"Jun 26, 2021","4,358.684","6,296.431"
"Jul 12, 2021","4,101.22","5,703.529"
"Jul 28, 2021","3,344.304","4,928.213"
"Aug 13, 2021","3,174.34","4,369.116"
"Aug 29, 2021","3,448.597","4,834.65"
"Sep 14, 2021","4,007.642","5,601.068"
"Sep 30, 2021","5,379.893","7,548.576"
"Oct 16, 2021","4,765.387","6,814.92"
"Nov 1, 2021","4,294.216","5,929.496"
"Nov 17, 2021","3,850.611","5,726.345"
"Dec 3, 2021","4,237.356","6,208.55"
"Dec 19, 2021","4,381.579","7,034.938"
"Jan 1, 2022","3,341.566","5,545.361"
"Jan 17, 2022","3,575.001","6,103.893"
"Feb 2, 2022","2,932.036","4,595.158"
"Feb 18, 2022","3,420.126","5,409.26"
"Mar 6, 2022","4,621.945","6,435.287"
"Mar 22, 2022","3,963.647","5,838.012"
"Apr 7, 2022","4,447.018","6,688.103"
