system:time_start,EVI,NDVI
"Dec 19, 2007","4,992.214","7,289.03"
"Jan 1, 2008","4,023.22","6,474.74"
"Jan 17, 2008","4,020.148","6,861.554"
"Feb 2, 2008","4,395.871","6,549.249"
"Feb 18, 2008","3,322.155","4,227.113"
"Mar 5, 2008","3,900.255","5,303.408"
"Mar 21, 2008","4,622.302","5,480.679"
"Apr 6, 2008","4,967.349","6,470.82"
"Apr 22, 2008","5,387.796","7,233.002"
"May 8, 2008","4,991.728","7,819.118"
"May 24, 2008","4,380.373","5,605.891"
"Jun 9, 2008","5,148.505","7,353.287"
"Jun 25, 2008","3,773.313","4,571.231"
"Jul 11, 2008","4,244.163","5,567.363"
"Jul 27, 2008","4,338.264","5,192.393"
"Aug 12, 2008","3,988.254","4,937.717"
"Aug 28, 2008","4,426.507","5,391.377"
"Sep 13, 2008","3,007.091","3,705.067"
"Sep 29, 2008","4,032.424","5,515.75"
"Oct 15, 2008","4,970.262","7,786.456"
"Oct 31, 2008","4,626.697","6,476.725"
"Nov 16, 2008","4,171.812","5,784.61"
"Dec 2, 2008","4,984.003","7,669.15"
"Dec 18, 2008","3,437.049","5,244.302"
"Jan 1, 2009","3,641.006","5,940.101"
"Jan 17, 2009","4,229.246","6,710.216"
"Feb 2, 2009","3,770.855","5,567.911"
"Feb 18, 2009","4,599.049","6,600.289"
"Mar 6, 2009","4,181.431","5,656.966"
"Mar 22, 2009","4,963.736","7,111.629"
"Apr 7, 2009","6,198.643","7,891.021"
"Apr 23, 2009","5,148.514","6,336.254"
"May 9, 2009","5,873.23","7,749.88"
"May 25, 2009","5,210.619","6,757.648"
"Jun 10, 2009","4,717.97","5,739.9"
"Jun 26, 2009","3,685.763","4,512.09"
"Jul 12, 2009","4,726.576","5,848.183"
"Jul 28, 2009","2,995.047","3,949.691"
"Aug 13, 2009","2,113.549","2,163.468"
"Aug 29, 2009","2,801.147","3,309.039"
"Sep 14, 2009","3,081.98","3,851.596"
"Sep 30, 2009","3,415.794","4,002.781"
"Oct 16, 2009","4,323.712","6,004.37"
"Nov 1, 2009","4,358.752","5,866.972"
"Nov 17, 2009","4,647.762","6,374.268"
"Dec 3, 2009","4,544.262","6,566.92"
"Dec 19, 2009","4,416.172","6,592.518"
"Jan 1, 2010","4,237.711","5,866.466"
"Jan 17, 2010","3,264.125","4,589.674"
"Feb 2, 2010","4,602.594","7,441.25"
"Feb 18, 2010","4,087.575","5,696.247"
"Mar 6, 2010","4,883.758","7,035.786"
"Mar 22, 2010","3,930.471","4,754.057"
"Apr 7, 2010","4,931.028","6,650.167"
"Apr 23, 2010","5,642.219","7,422.399"
"May 9, 2010","4,896.468","6,253.917"
"May 25, 2010","4,068.758","5,320.997"
"Jun 10, 2010","4,313.768","5,423.368"
"Jun 26, 2010","4,233.573","5,155.311"
"Jul 12, 2010","5,168.689","6,601.896"
"Jul 28, 2010","3,343.688","4,558.816"
"Aug 13, 2010","3,725.229","4,448.038"
"Aug 29, 2010","3,678.785","4,596.865"
"Sep 14, 2010","4,247.83","4,855.356"
"Sep 30, 2010","4,693.403","6,137.055"
"Oct 16, 2010","4,537.33","6,417.357"
"Nov 1, 2010","4,934.283","6,538.745"
"Nov 17, 2010","4,768.883","6,419.163"
"Dec 3, 2010","4,713.381","7,181.018"
"Dec 19, 2010","4,348.365","6,654.258"
"Jan 1, 2011","4,279.127","6,364.317"
"Jan 17, 2011","2,922.198","4,161.169"
"Feb 2, 2011","4,353.926","6,816.296"
"Feb 18, 2011","4,109.813","5,133.448"
"Mar 6, 2011","4,765.33","6,451.122"
"Mar 22, 2011","4,718.149","6,436.525"
"Apr 7, 2011","4,630.093","7,102.343"
"Apr 23, 2011","5,393.684","7,136.007"
"May 9, 2011","5,423.014","6,998.544"
"May 25, 2011","4,771.769","6,138.003"
"Jun 10, 2011","4,508.437","6,213.103"
"Jun 26, 2011","3,980.325","4,545.359"
"Jul 12, 2011","4,136.509","5,541.151"
"Jul 28, 2011","3,688.051","5,097.78"
"Aug 13, 2011","3,454.462","4,708.938"
"Aug 29, 2011","3,431.121","4,096.607"
"Sep 14, 2011","2,977.187","3,294.305"
"Sep 30, 2011","4,402.737","5,732.6"
"Oct 16, 2011","4,706.995","7,966.937"
"Nov 1, 2011","4,670.955","6,802.866"
"Nov 17, 2011","4,671.208","6,902.908"
"Dec 3, 2011","3,940.524","5,620.013"
"Dec 19, 2011","3,977.885","7,140.947"
"Jan 1, 2012","3,345.624","5,385.165"
"Jan 17, 2012","4,401.101","6,298.618"
"Feb 2, 2012","2,551.342","3,166.469"
"Feb 18, 2012","4,170.801","6,794.854"
"Mar 5, 2012","4,505.701","6,468.44"
"Mar 21, 2012","4,174.467","5,918.251"
"Apr 6, 2012","4,494.004","6,432.673"
"Apr 22, 2012","4,190.043","5,729.787"
"May 8, 2012","5,184.854","6,908.216"
"May 24, 2012","5,646.528","7,357.413"
"Jun 9, 2012","4,446.792","5,521.412"
"Jun 25, 2012","4,385.777","5,774.434"
"Jul 11, 2012","3,361.298","4,565.49"
"Jul 27, 2012","2,155.089","2,241.884"
"Aug 12, 2012","2,986.482","3,609.603"
"Aug 28, 2012","3,606.956","4,091.543"
"Sep 13, 2012","3,750.397","4,700.617"
"Sep 29, 2012","3,990.205","5,424.065"
"Oct 15, 2012","4,583.365","6,535.423"
"Oct 31, 2012","4,959.776","6,914.353"
"Nov 16, 2012","4,832.282","6,943.446"
"Dec 2, 2012","4,448.519","6,362.244"
"Dec 18, 2012","4,283.628","7,184.41"
"Jan 1, 2013","4,307.574","7,165.789"
"Jan 17, 2013","3,558.78","5,725.916"
"Feb 2, 2013","3,515.99","5,315.468"
"Feb 18, 2013","4,116.871","5,552.121"
"Mar 6, 2013","5,059.608","7,014.261"
"Mar 22, 2013","4,994.517","6,999.266"
"Apr 7, 2013","5,081.938","6,643.376"
"Apr 23, 2013","5,021.336","6,219.772"
"May 9, 2013","5,099.451","7,203.797"
"May 25, 2013","4,279.105","5,001.718"
"Jun 10, 2013","4,760.895","6,205.13"
"Jun 26, 2013","3,628.033","4,623.631"
"Jul 12, 2013","3,615.269","4,668.783"
"Jul 28, 2013","2,635.73","3,111.098"
"Aug 13, 2013","2,990.832","4,352.788"
"Aug 29, 2013","2,468.02","2,652.51"
"Sep 14, 2013","3,815.939","4,612.138"
"Sep 30, 2013","3,982.968","5,394.366"
"Oct 16, 2013","4,336.477","5,755.596"
"Nov 1, 2013","4,569.301","6,306.26"
"Nov 17, 2013","4,008.777","5,626.41"
"Dec 3, 2013","5,551.609","7,871.548"
"Dec 19, 2013","4,118.757","6,463.145"
"Jan 1, 2014","3,659.074","6,271.377"
"Jan 17, 2014","4,412.118","6,609.732"
"Feb 2, 2014","3,281.831","5,040.218"
"Feb 18, 2014","3,671.725","4,932.624"
"Mar 6, 2014","4,075.576","6,313.593"
"Mar 22, 2014","5,338.264","7,799.016"
"Apr 7, 2014","5,705.913","7,355.26"
"Apr 23, 2014","5,166.202","6,472.505"
"May 9, 2014","4,927.096","7,960.496"
"May 25, 2014","5,225.422","6,571.201"
"Jun 10, 2014","5,056.88","6,605.166"
"Jun 26, 2014","4,494.367","6,229.413"
"Jul 12, 2014","3,932.597","4,669.826"
"Jul 28, 2014","3,260.441","4,122.554"
"Aug 13, 2014","3,196.111","3,943.878"
"Aug 29, 2014","2,651.413","2,935.94"
"Sep 14, 2014","3,399.054","4,188.302"
"Sep 30, 2014","4,044.072","4,975.563"
"Oct 16, 2014","4,558.958","6,113.826"
"Nov 1, 2014","4,897.91","7,066.466"
"Nov 17, 2014","3,994.177","5,749.05"
"Dec 3, 2014","4,506.821","6,314.629"
"Dec 19, 2014","4,355.391","6,730.169"
"Jan 1, 2015","4,258.41","6,610.935"
"Jan 17, 2015","3,519.75","5,285.494"
"Feb 2, 2015","3,339.688","4,922.861"
"Feb 18, 2015","3,980.041","5,399.888"
"Mar 6, 2015","4,536.339","6,550.941"
"Mar 22, 2015","4,461.622","6,283.053"
"Apr 7, 2015","4,587.038","5,677.565"
"Apr 23, 2015","5,058.198","6,826.152"
"May 9, 2015","5,273.491","6,842.267"
"May 25, 2015","4,773.454","6,209.298"
"Jun 10, 2015","4,155.456","5,537.279"
"Jun 26, 2015","4,448.4","5,641.896"
"Jul 12, 2015","4,574.262","6,188.454"
"Jul 28, 2015","3,130.485","3,827.839"
"Aug 13, 2015","2,751.577","2,997.786"
"Aug 29, 2015","3,400.165","4,698.302"
"Sep 14, 2015","2,684.57","3,011.542"
"Sep 30, 2015","3,348.666","4,035.734"
"Oct 16, 2015","4,468.915","6,290.278"
"Nov 1, 2015","4,434.395","5,932.416"
"Nov 17, 2015","4,429.029","6,007.359"
"Dec 3, 2015","4,345.778","6,427.74"
"Dec 19, 2015","4,333.889","6,628.282"
"Jan 1, 2016","4,324.322","6,547.027"
"Jan 17, 2016","3,776.671","5,406.223"
"Feb 2, 2016","4,036.065","5,117.866"
"Feb 18, 2016","3,738.604","4,613.363"
"Mar 5, 2016","4,406.035","7,936.817"
"Mar 21, 2016","4,947.315","6,213.611"
"Apr 6, 2016","5,036.901","6,793.82"
"Apr 22, 2016","5,266.743","6,643.761"
"May 8, 2016","4,278.826","5,409.171"
"May 24, 2016","4,765.438","6,552.285"
