"","year","month","Precipitation","MinTemperature","MaxTemperature"
"231",2019,3,54.4102808,250.2158491,367.320115
"232",2019,4,89.3083259,251.4351255,358.9682652
"233",2019,5,130.4482471,243.0643063,339.1737295
"234",2019,6,157.5357396,232.3321486,318.2112233
"235",2019,7,162.1092027,226.4766081,301.8722327
"236",2019,8,110.1879239,224.2036983,298.1346736
"237",2019,9,182.1162338,225.9967061,309.1009469
"238",2019,10,240.9493853,219.7962704,319.5155318
"239",2019,11,29.1952488,225.4323982,349.4863844
"240",2019,12,6.6271907,216.7118633,346.8676251
"241",2020,1,2.4722628,209.4359096,345.5675614
"242",2020,2,4.3890406,232.0488206,363.3980144
"243",2020,3,77.28518,248.8481052,366.2670595
"244",2020,4,75.2931498,246.1944543,352.8317988
"245",2020,5,115.7387618,243.6835343,339.314463
"246",2020,6,138.4267881,229.8825259,315.6688646
"247",2020,7,178.1710376,224.6877963,299.759887
"248",2020,8,97.4762867,222.4078973,295.7039252
"249",2020,9,211.4769071,222.2984012,304.6580257
"250",2020,10,163.3390916,223.0232335,322.2191938
"251",2020,11,26.3227253,222.6970344,345.8508887
"252",2020,12,13.726279,218.8750574,349.2803478
"253",2021,1,5.1696039,215.8638507,351.9925945
"254",2021,2,10.1524518,230.4511591,361.8028249
"255",2021,3,53.3477693,243.6392637,361.0578947
"256",2021,4,45.260095,250.8074428,357.4458941
"257",2021,5,69.4395148,246.6546905,342.2864808
"258",2021,6,190.1990095,232.1714466,317.9569403
"259",2021,7,138.7417835,227.7296737,302.8017245
"260",2021,8,196.6507848,222.6644771,295.9601003
"261",2021,9,199.0818604,225.9581302,308.3175888
"262",2021,10,112.3194763,229.2362121,328.4314499
"263",2021,11,35.2457294,223.8361088,346.9871872
"264",2021,12,4.1463002,215.8817506,346.2913979
