"","hex_id","na.cnt","na.cnt.2","trend","p.val","r2","std.er","trnd.strngth","seas.strngth"
"239",480,NA,NA,NA,NA,NA,NA,NA,NA
"240",481,NA,NA,NA,NA,NA,NA,NA,NA
"241",482,NA,NA,NA,NA,NA,NA,NA,NA
"242",483,NA,NA,NA,NA,NA,NA,NA,NA
"243",484,NA,NA,NA,NA,NA,NA,NA,NA
"244",485,NA,NA,NA,NA,NA,NA,NA,NA
"245",486,NA,NA,NA,NA,NA,NA,NA,NA
"246",487,NA,NA,NA,NA,NA,NA,NA,NA
"247",488,NA,NA,NA,NA,NA,NA,NA,NA
"248",489,NA,NA,NA,NA,NA,NA,NA,NA
"249",490,NA,NA,NA,NA,NA,NA,NA,NA
"250",491,NA,NA,NA,NA,NA,NA,NA,NA
"251",492,NA,NA,NA,NA,NA,NA,NA,NA
"252",493,NA,NA,NA,NA,NA,NA,NA,NA
"253",497,NA,NA,NA,NA,NA,NA,NA,NA
"254",498,NA,NA,NA,NA,NA,NA,NA,NA
"255",499,NA,NA,NA,NA,NA,NA,NA,NA
"256",500,NA,NA,NA,NA,NA,NA,NA,NA
"257",501,NA,NA,NA,NA,NA,NA,NA,NA
"258",502,NA,NA,NA,NA,NA,NA,NA,NA
"259",503,NA,NA,NA,NA,NA,NA,NA,NA
"260",504,NA,NA,NA,NA,NA,NA,NA,NA
"261",505,NA,NA,NA,NA,NA,NA,NA,NA
"262",506,NA,NA,NA,NA,NA,NA,NA,NA
"263",507,NA,NA,NA,NA,NA,NA,NA,NA
"264",508,NA,NA,NA,NA,NA,NA,NA,NA
"265",509,NA,NA,NA,NA,NA,NA,NA,NA
"266",510,NA,NA,NA,NA,NA,NA,NA,NA
"267",511,NA,NA,NA,NA,NA,NA,NA,NA
"268",512,NA,NA,NA,NA,NA,NA,NA,NA
"269",513,NA,NA,NA,NA,NA,NA,NA,NA
"270",514,NA,NA,NA,NA,NA,NA,NA,NA
"271",515,NA,NA,NA,NA,NA,NA,NA,NA
"272",516,NA,NA,NA,NA,NA,NA,NA,NA
"273",517,NA,NA,NA,NA,NA,NA,NA,NA
"274",518,NA,NA,NA,NA,NA,NA,NA,NA
"275",519,NA,NA,NA,NA,NA,NA,NA,NA
"276",520,NA,NA,NA,NA,NA,NA,NA,NA
"277",523,NA,NA,NA,NA,NA,NA,NA,NA
"278",524,NA,NA,NA,NA,NA,NA,NA,NA
"279",525,NA,NA,NA,NA,NA,NA,NA,NA
"280",526,NA,NA,NA,NA,NA,NA,NA,NA
"281",527,NA,NA,NA,NA,NA,NA,NA,NA
"282",528,NA,NA,NA,NA,NA,NA,NA,NA
"283",529,NA,NA,NA,NA,NA,NA,NA,NA
"284",530,NA,NA,NA,NA,NA,NA,NA,NA
"285",531,NA,NA,NA,NA,NA,NA,NA,NA
"286",532,NA,NA,NA,NA,NA,NA,NA,NA
"287",533,NA,NA,NA,NA,NA,NA,NA,NA
"288",534,NA,NA,NA,NA,NA,NA,NA,NA
"289",535,NA,NA,NA,NA,NA,NA,NA,NA
"290",536,NA,NA,NA,NA,NA,NA,NA,NA
"291",537,NA,NA,NA,NA,NA,NA,NA,NA
"292",538,NA,NA,NA,NA,NA,NA,NA,NA
"293",539,NA,NA,NA,NA,NA,NA,NA,NA
"294",540,NA,NA,NA,NA,NA,NA,NA,NA
"295",541,NA,NA,NA,NA,NA,NA,NA,NA
"296",542,NA,NA,NA,NA,NA,NA,NA,NA
"297",543,NA,NA,NA,NA,NA,NA,NA,NA
"298",544,NA,NA,NA,NA,NA,NA,NA,NA
"299",545,NA,NA,NA,NA,NA,NA,NA,NA
"300",549,NA,NA,NA,NA,NA,NA,NA,NA
"301",550,NA,NA,NA,NA,NA,NA,NA,NA
"302",551,NA,NA,NA,NA,NA,NA,NA,NA
"303",552,NA,NA,NA,NA,NA,NA,NA,NA
"304",553,NA,NA,NA,NA,NA,NA,NA,NA
"305",554,NA,NA,NA,NA,NA,NA,NA,NA
"306",555,NA,NA,NA,NA,NA,NA,NA,NA
"307",556,NA,NA,NA,NA,NA,NA,NA,NA
"308",557,NA,NA,NA,NA,NA,NA,NA,NA
"309",558,NA,NA,NA,NA,NA,NA,NA,NA
"310",559,NA,NA,NA,NA,NA,NA,NA,NA
"311",560,NA,NA,NA,NA,NA,NA,NA,NA
"312",561,NA,NA,NA,NA,NA,NA,NA,NA
"313",562,NA,NA,NA,NA,NA,NA,NA,NA
"314",563,NA,NA,NA,NA,NA,NA,NA,NA
"315",564,NA,NA,NA,NA,NA,NA,NA,NA
"316",565,NA,NA,NA,NA,NA,NA,NA,NA
"317",566,NA,NA,NA,NA,NA,NA,NA,NA
"318",567,NA,NA,NA,NA,NA,NA,NA,NA
"319",568,NA,NA,NA,NA,NA,NA,NA,NA
"320",569,NA,NA,NA,NA,NA,NA,NA,NA
"321",570,NA,NA,NA,NA,NA,NA,NA,NA
"322",571,NA,NA,NA,NA,NA,NA,NA,NA
"323",575,NA,NA,NA,NA,NA,NA,NA,NA
"324",576,NA,NA,NA,NA,NA,NA,NA,NA
"325",577,NA,NA,NA,NA,NA,NA,NA,NA
"326",578,NA,NA,NA,NA,NA,NA,NA,NA
"327",579,NA,NA,NA,NA,NA,NA,NA,NA
"328",580,NA,NA,NA,NA,NA,NA,NA,NA
"329",581,NA,NA,NA,NA,NA,NA,NA,NA
"330",582,NA,NA,NA,NA,NA,NA,NA,NA
"331",583,NA,NA,NA,NA,NA,NA,NA,NA
"332",584,NA,NA,NA,NA,NA,NA,NA,NA
"333",585,NA,NA,NA,NA,NA,NA,NA,NA
"334",586,NA,NA,NA,NA,NA,NA,NA,NA
"335",587,NA,NA,NA,NA,NA,NA,NA,NA
"336",588,NA,NA,NA,NA,NA,NA,NA,NA
"337",589,NA,NA,NA,NA,NA,NA,NA,NA
"338",590,NA,NA,NA,NA,NA,NA,NA,NA
"339",591,NA,NA,NA,NA,NA,NA,NA,NA
"340",592,NA,NA,NA,NA,NA,NA,NA,NA
"341",593,NA,NA,NA,NA,NA,NA,NA,NA
"342",594,NA,NA,NA,NA,NA,NA,NA,NA
"343",595,NA,NA,NA,NA,NA,NA,NA,NA
"344",596,NA,NA,NA,NA,NA,NA,NA,NA
"345",602,NA,NA,NA,NA,NA,NA,NA,NA
"346",603,NA,NA,NA,NA,NA,NA,NA,NA
"347",604,NA,NA,NA,NA,NA,NA,NA,NA
"348",605,NA,NA,NA,NA,NA,NA,NA,NA
"349",606,NA,NA,NA,NA,NA,NA,NA,NA
"350",607,NA,NA,NA,NA,NA,NA,NA,NA
"351",608,NA,NA,NA,NA,NA,NA,NA,NA
"352",609,NA,NA,NA,NA,NA,NA,NA,NA
"353",610,NA,NA,NA,NA,NA,NA,NA,NA
"354",611,NA,NA,NA,NA,NA,NA,NA,NA
"355",612,NA,NA,NA,NA,NA,NA,NA,NA
"356",613,NA,NA,NA,NA,NA,NA,NA,NA
"357",614,NA,NA,NA,NA,NA,NA,NA,NA
"358",615,NA,NA,NA,NA,NA,NA,NA,NA
"359",616,NA,NA,NA,NA,NA,NA,NA,NA
"360",617,NA,NA,NA,NA,NA,NA,NA,NA
"361",618,NA,NA,NA,NA,NA,NA,NA,NA
"362",619,NA,NA,NA,NA,NA,NA,NA,NA
"363",620,NA,NA,NA,NA,NA,NA,NA,NA
"364",621,NA,NA,NA,NA,NA,NA,NA,NA
"365",622,NA,NA,NA,NA,NA,NA,NA,NA
"366",623,NA,NA,NA,NA,NA,NA,NA,NA
"367",627,NA,NA,NA,NA,NA,NA,NA,NA
"368",628,NA,NA,NA,NA,NA,NA,NA,NA
"369",629,NA,NA,NA,NA,NA,NA,NA,NA
"370",630,NA,NA,NA,NA,NA,NA,NA,NA
"371",631,NA,NA,NA,NA,NA,NA,NA,NA
"372",632,NA,NA,NA,NA,NA,NA,NA,NA
"373",633,NA,NA,NA,NA,NA,NA,NA,NA
"374",634,NA,NA,NA,NA,NA,NA,NA,NA
"375",635,NA,NA,NA,NA,NA,NA,NA,NA
"376",636,NA,NA,NA,NA,NA,NA,NA,NA
"377",637,NA,NA,NA,NA,NA,NA,NA,NA
"378",638,NA,NA,NA,NA,NA,NA,NA,NA
"379",639,NA,NA,NA,NA,NA,NA,NA,NA
"380",640,NA,NA,NA,NA,NA,NA,NA,NA
"381",641,NA,NA,NA,NA,NA,NA,NA,NA
"382",642,NA,NA,NA,NA,NA,NA,NA,NA
"383",643,NA,NA,NA,NA,NA,NA,NA,NA
"384",644,NA,NA,NA,NA,NA,NA,NA,NA
"385",645,NA,NA,NA,NA,NA,NA,NA,NA
"386",646,NA,NA,NA,NA,NA,NA,NA,NA
"387",647,NA,NA,NA,NA,NA,NA,NA,NA
"388",648,NA,NA,NA,NA,NA,NA,NA,NA
"389",654,NA,NA,NA,NA,NA,NA,NA,NA
"390",655,NA,NA,NA,NA,NA,NA,NA,NA
"391",656,NA,NA,NA,NA,NA,NA,NA,NA
"392",657,NA,NA,NA,NA,NA,NA,NA,NA
"393",658,NA,NA,NA,NA,NA,NA,NA,NA
"394",659,NA,NA,NA,NA,NA,NA,NA,NA
"395",660,NA,NA,NA,NA,NA,NA,NA,NA
"396",661,NA,NA,NA,NA,NA,NA,NA,NA
"397",662,NA,NA,NA,NA,NA,NA,NA,NA
"398",663,NA,NA,NA,NA,NA,NA,NA,NA
"399",664,NA,NA,NA,NA,NA,NA,NA,NA
"400",665,NA,NA,NA,NA,NA,NA,NA,NA
"401",666,NA,NA,NA,NA,NA,NA,NA,NA
"402",667,NA,NA,NA,NA,NA,NA,NA,NA
"403",668,NA,NA,NA,NA,NA,NA,NA,NA
"404",669,NA,NA,NA,NA,NA,NA,NA,NA
"405",670,NA,NA,NA,NA,NA,NA,NA,NA
"406",671,NA,NA,NA,NA,NA,NA,NA,NA
"407",672,NA,NA,NA,NA,NA,NA,NA,NA
"408",673,NA,NA,NA,NA,NA,NA,NA,NA
"409",674,NA,NA,NA,NA,NA,NA,NA,NA
"410",679,NA,NA,NA,NA,NA,NA,NA,NA
"411",680,NA,NA,NA,NA,NA,NA,NA,NA
"412",681,NA,NA,NA,NA,NA,NA,NA,NA
"413",682,NA,NA,NA,NA,NA,NA,NA,NA
"414",683,NA,NA,NA,NA,NA,NA,NA,NA
"415",684,NA,NA,NA,NA,NA,NA,NA,NA
"416",685,NA,NA,NA,NA,NA,NA,NA,NA
"417",686,NA,NA,NA,NA,NA,NA,NA,NA
"418",687,NA,NA,NA,NA,NA,NA,NA,NA
"419",688,NA,NA,NA,NA,NA,NA,NA,NA
"420",689,NA,NA,NA,NA,NA,NA,NA,NA
"421",690,NA,NA,NA,NA,NA,NA,NA,NA
"422",691,NA,NA,NA,NA,NA,NA,NA,NA
"423",692,NA,NA,NA,NA,NA,NA,NA,NA
"424",693,NA,NA,NA,NA,NA,NA,NA,NA
"425",694,NA,NA,NA,NA,NA,NA,NA,NA
"426",695,NA,NA,NA,NA,NA,NA,NA,NA
"427",696,NA,NA,NA,NA,NA,NA,NA,NA
"428",697,NA,NA,NA,NA,NA,NA,NA,NA
"429",698,NA,NA,NA,NA,NA,NA,NA,NA
"430",699,NA,NA,NA,NA,NA,NA,NA,NA
"431",700,NA,NA,NA,NA,NA,NA,NA,NA
"432",706,NA,NA,NA,NA,NA,NA,NA,NA
"433",707,NA,NA,NA,NA,NA,NA,NA,NA
"434",708,NA,NA,NA,NA,NA,NA,NA,NA
"435",709,NA,NA,NA,NA,NA,NA,NA,NA
"436",710,NA,NA,NA,NA,NA,NA,NA,NA
"437",711,NA,NA,NA,NA,NA,NA,NA,NA
"438",712,NA,NA,NA,NA,NA,NA,NA,NA
"439",713,NA,NA,NA,NA,NA,NA,NA,NA
"440",714,NA,NA,NA,NA,NA,NA,NA,NA
"441",715,NA,NA,NA,NA,NA,NA,NA,NA
"442",716,NA,NA,NA,NA,NA,NA,NA,NA
"443",717,NA,NA,NA,NA,NA,NA,NA,NA
"444",718,NA,NA,NA,NA,NA,NA,NA,NA
"445",719,NA,NA,NA,NA,NA,NA,NA,NA
"446",720,NA,NA,NA,NA,NA,NA,NA,NA
"447",721,NA,NA,NA,NA,NA,NA,NA,NA
"448",722,NA,NA,NA,NA,NA,NA,NA,NA
"449",723,NA,NA,NA,NA,NA,NA,NA,NA
"450",724,NA,NA,NA,NA,NA,NA,NA,NA
"451",725,NA,NA,NA,NA,NA,NA,NA,NA
"452",726,NA,NA,NA,NA,NA,NA,NA,NA
"453",731,NA,NA,NA,NA,NA,NA,NA,NA
"454",732,NA,NA,NA,NA,NA,NA,NA,NA
"455",733,NA,NA,NA,NA,NA,NA,NA,NA
"456",734,NA,NA,NA,NA,NA,NA,NA,NA
"457",735,NA,NA,NA,NA,NA,NA,NA,NA
"458",736,NA,NA,NA,NA,NA,NA,NA,NA
"459",737,NA,NA,NA,NA,NA,NA,NA,NA
"460",738,NA,NA,NA,NA,NA,NA,NA,NA
"461",739,NA,NA,NA,NA,NA,NA,NA,NA
"462",740,NA,NA,NA,NA,NA,NA,NA,NA
"463",741,NA,NA,NA,NA,NA,NA,NA,NA
"464",742,NA,NA,NA,NA,NA,NA,NA,NA
"465",743,NA,NA,NA,NA,NA,NA,NA,NA
"466",744,NA,NA,NA,NA,NA,NA,NA,NA
"467",745,NA,NA,NA,NA,NA,NA,NA,NA
"468",746,NA,NA,NA,NA,NA,NA,NA,NA
"469",747,NA,NA,NA,NA,NA,NA,NA,NA
"470",748,NA,NA,NA,NA,NA,NA,NA,NA
"471",749,NA,NA,NA,NA,NA,NA,NA,NA
"472",750,NA,NA,NA,NA,NA,NA,NA,NA
"473",751,NA,NA,NA,NA,NA,NA,NA,NA
"474",758,NA,NA,NA,NA,NA,NA,NA,NA
