"","X","year","month","mean_evi","date","Precipitation","Evapotranspiration","Humidity","Drought","MiniTemperature","MaxTemperature"
"18",181,2001,6,NA,"2001-06-01",7.16576118218279,4.79546178435365e-05,0.0166487067935087,-309.762639250985,224.664868540989,291.118326169553
"19",191,2001,7,NA,"2001-07-01",2.55523614805103,4.56260289257344e-05,0.0156304603170856,-339.945689600795,216.94076538937,281.337369806265
"20",204,2001,8,NA,"2001-08-01",1.11562766177364,3.70299358026263e-05,0.0151611764330931,-354.200557684734,211.034895414441,274.596264113602
"21",218,2001,9,NA,"2001-09-01",4.71161552788004,4.30631046810337e-05,0.0152238087960051,-320.61523021911,218.097310858097,283.466184033296
"22",227,2001,10,NA,"2001-10-01",4.40293173908441,5.17235944001665e-05,0.0161009118789468,-365.516518104316,218.835616162282,305.183692731287
"23",231,2001,11,NA,"2001-11-01",2.83579307643194,4.62277624417591e-05,0.0161153199487463,-347.419441262864,225.815261320147,315.929082171522
"24",241,2001,12,NA,"2001-12-01",0.913028543340916,3.01484031291713e-05,0.0155179154408134,-372.321553622287,223.151357069563,321.083505416537
"25",8,2002,1,0.472355423476969,"2002-01-01",0.777878702740826,2.22156020883327e-05,0.013475984970339,-380.820238728956,213.975711135855,315.291787812245
"26",9,2002,2,0.59260941139428,"2002-02-01",1.36226838459185,2.20530814789603e-05,0.0147414904053446,-399.645213453539,216.071787392745,327.38180506174
"27",10,2002,3,0.696001950167188,"2002-03-01",2.69567721769443,3.29127485359582e-05,0.0169307314847498,-360.876653226995,226.088392697082,326.254018088302
"28",11,2002,4,0.723862726760218,"2002-04-01",7.88110606800304,4.25101495457851e-05,0.0176087767978236,-205.840819095398,228.999654457671,316.695651387156
"29",291,2002,5,NA,"2002-05-01",7.02863107319542,4.73564462934942e-05,0.0180502546011642,-179.533845042014,234.794955869756,320.8527877651
"30",301,2002,6,NA,"2002-06-01",7.96323862678471,4.4595183357529e-05,0.0169316131862419,-130.284943956579,223.156973616924,300.721190674745
"31",311,2002,7,NA,"2002-07-01",6.47565769381118,4.6724055585343e-05,0.016397251031768,45.8378529621057,220.573787314307,286.968019594579
"32",321,2002,8,NA,"2002-08-01",2.71443805120269,4.31274393902747e-05,0.0156772687436325,30.8946001640257,216.485279915241,276.205257674953
"33",331,2002,9,NA,"2002-09-01",2.20266673972901,4.49325135815752e-05,0.0157549024851822,-68.7450085292379,219.071322513554,286.177924373346
"34",341,2002,10,NA,"2002-10-01",7.34870378031933,4.96881288636624e-05,0.0165798024534589,17.4607409900945,216.50939061815,297.292085739777
"35",12,2002,11,0.818006342334123,"2002-11-01",3.83397476925163,5.05066646539694e-05,0.0163253616745969,-35.77323514699,219.790704144268,312.392623061433
"36",13,2002,12,0.771117906151499,"2002-12-01",0.864219717618775,3.72355402264359e-05,0.0137048810701432,-150.497880771194,214.89978985148,316.686549023279
"37",14,2003,1,0.632315196392863,"2003-01-01",0.688974562848933,2.65155425587938e-05,0.0139343208409635,-160.774821435798,216.700282616905,317.197444945833
"38",15,2003,2,0.616518010492819,"2003-02-01",2.42188564973804,2.93470646153709e-05,0.0161730694169793,-151.22291633921,231.975272200102,328.983776287819
"39",16,2003,3,0.631244008131161,"2003-03-01",3.65397004224697,3.38505545111312e-05,0.0168894256394283,-212.34332416623,229.436873529148,330.00069801475
"40",17,2003,4,0.774864482470665,"2003-04-01",6.14548271621819,4.31661247396478e-05,0.0176914646436633,-137.641616437099,227.572804203064,315.01882003298
"41",411,2003,5,NA,"2003-05-01",5.4869189330212,4.66932120680818e-05,0.0175934485850055,-150.023921850363,233.455790753781,317.09993218944
"42",421,2003,6,NA,"2003-06-01",7.56447584237988,4.43188792290941e-05,0.0169242793817654,-154.952021206806,223.832136861242,290.632573238182
"43",431,2003,7,NA,"2003-07-01",2.59012434917668,4.50463342040898e-05,0.0158016797871671,-212.686235354958,215.985929215712,284.770794161036
